occupancy_rate,day_of_week,meal_period,hour,week_of_year,weather,temperature_f,patio_open,local_event,reservation_count,staff_count,discount_percent
0.5229,Tuesday,Lunch,11.89,16,Cloudy,57.6,Yes,No,5.0,6,0
0.6965,Sunday,Lunch,11.79,30,Cloudy,70.4,Yes,No,11.0,8,0
0.3607,Monday,Lunch,12.26,46,Rain,55.5,No,No,11.0,7,20
0.9088,Tuesday,Dinner,18.16,29,Heat,73.7,No,Yes,19.0,8,30
0.8199,Tuesday,Dinner,20.77,23,Clear,76.2,Yes,No,16.0,7,0
0.5221,Wednesday,Lunch,13.04,48,Cloudy,59.1,Yes,No,10.0,6,0
0.8551,Sunday,Dinner,16.8,2,Cloudy,65.3,Yes,No,15.0,9,20
0.1935,Thursday,Lunch,12.88,8,Rain,52.3,No,No,11.0,6,0
0.9092,Monday,Lunch,12.41,45,Cloudy,59.5,Yes,Yes,18.0,6,30
0.4201,Friday,Lunch,12.72,44,Cloudy,60.5,No,No,10.0,5,0
0.9385,Saturday,Dinner,18.49,34,Cloudy,76.0,No,No,25.0,8,25
0.4919,Wednesday,Lunch,12.68,4,Clear,55.1,No,No,12.0,6,0
0.6885,Thursday,Lunch,12.66,9,Clear,53.9,No,Yes,19.0,6,0
0.8297,Sunday,Dinner,17.79,51,Cloudy,52.1,Yes,No,20.0,9,20
0.2674,Sunday,Lunch,12.29,45,Rain,45.4,No,No,14.0,7,0
0.9586,Friday,Dinner,17.69,3,Clear,51.9,No,Yes,29.0,7,25
0.5541,Saturday,Dinner,18.06,10,Rain,60.1,No,No,19.0,8,0
0.2702,Wednesday,Lunch,12.6,3,Rain,57.2,No,No,13.0,6,0
0.9553,Thursday,Lunch,12.37,18,Cloudy,72.9,Yes,No,8.0,5,25
0.9322,Saturday,Lunch,13.93,13,Clear,62.8,Yes,No,14.0,7,25
0.9445,Thursday,Dinner,19.45,33,Clear,76.7,Yes,No,15.0,8,0
0.7929,Saturday,Lunch,11.9,51,Clear,39.2,No,No,21.0,6,10
0.7174,Monday,Lunch,13.13,30,Clear,81.7,Yes,No,12.0,5,0
0.6546,Wednesday,Lunch,13.64,46,Clear,56.2,No,Yes,22.0,5,0
0.8318,Saturday,Lunch,11.43,44,Clear,63.0,Yes,No,15.0,6,0
0.3782,Friday,Dinner,18.62,22,Rain,79.2,No,No,13.0,8,0
0.875,Saturday,Lunch,13.08,51,Cloudy,50.7,Yes,No,16.0,7,15
0.08,Wednesday,Lunch,14.48,14,Rain,52.0,No,No,10.0,5,0
0.8289,Sunday,Dinner,18.9,23,Clear,84.3,Yes,No,15.0,8,0
0.7873,Tuesday,Lunch,11.12,14,Cloudy,71.2,Yes,No,11.0,7,15
0.7765,Thursday,Lunch,14.37,17,Clear,62.7,Yes,No,5.0,7,0
0.7552,Wednesday,Dinner,18.47,43,,63.2,Yes,No,11.0,7,0
0.7742,Sunday,Dinner,16.71,49,Clear,54.7,No,No,21.0,8,30
