likelihood_to_apply,GPA,GRE_score,field_of_study
Very High,3.2277,158.3,Business
Medium,3.0192,155.2,Arts
Very High,3.2773,149.6,Social Sciences
High,3.5648,145.0,Arts
Low,2.9877,153.7,Social Sciences
Very High,2.9877,151.7,Social Sciences
Very High,3.5833,155.0,STEM
Very High,3.3166,153.3,STEM
Low,2.9104,156.0,Business
High,3.2428,145.7,Humanities
Low,2.9124,157.8,STEM
Medium,2.9116,150.5,Humanities
Very High,3.1441,162.7,Social Sciences
Medium,2.4362,144.7,Humanities
Very High,2.4981,160.5,Social Sciences
High,2.8799,150.5,Business
High,2.7319,144.9,Business
Medium,3.1678,146.0,Humanities
Low,2.7664,147.1,Social Sciences
Low,2.6007,151.9,Social Sciences
Very High,3.546,152.6,Business
Medium,2.9904,145.4,Social Sciences
High,3.0868,149.0,STEM
Low,2.5967,163.1,STEM
Very High,2.8858,160.4,Humanities
Medium,3.101,152.0,Humanities
Low,2.6866,149.4,Business
High,3.188,150.0,STEM
Very High,2.8673,153.2,Social Sciences
Medium,2.9688,142.5,Business
Medium,2.867,147.5,Business
Medium,3.673,138.3,Social Sciences
High,3.0602,151.8,Humanities
Low,2.7172,153.4,Social Sciences
High,3.3347,146.0,Arts
Medium,2.6636,159.4,STEM
Low,3.1332,141.2,Arts
Low,2.4209,139.6,Business
Very High,2.6284,150.6,Humanities
Very High,3.1293,156.0,STEM
Very High,3.3072,160.2,Humanities
Low,3.1209,146.2,Social Sciences
Medium,3.0266,156.2,STEM
Medium,2.9657,148.9,Business
High,2.579,148.1,Arts
Low,2.8282,154.9,Humanities
Very High,2.9133,153.4,Business
Medium,3.4118,138.9,STEM
Very High,3.1774,158.8,Social Sciences
Low,2.4855,158.2,STEM
High,3.171,145.1,Humanities
Medium,2.9381,151.8,Arts
High,2.8423,152.4,Business
Medium,3.2655,150.9,STEM
Medium,3.4032,145.6,Social Sciences
Very High,3.3705,144.8,Humanities
High,2.789,149.0,Social Sciences
Very High,2.963,156.8,Business
Very High,3.1734,152.7,Business
Very High,3.385,146.8,Humanities
Low,2.9072,154.2,Social Sciences
Low,3.0036,130.6,Social Sciences
Low,2.7012,156.7,STEM
Medium,2.6717,137.8,Social Sciences
High,3.3315,146.8,Social Sciences
Medium,3.51,141.9,Business
Medium,3.0409,140.7,Business
Very High,3.3942,156.7,STEM
Medium,3.1834,146.1,Social Sciences
Low,2.8527,151.4,STEM
Medium,3.1833,148.9,STEM
Very High,3.5697,152.3,Business
Medium,3.0528,149.7,STEM
High,3.5785,140.8,Social Sciences
Low,2.2042,155.7,STEM
High,3.3345,146.0,Arts
Medium,3.0932,139.0,Humanities
High,2.9664,146.4,STEM
High,3.0947,159.0,Humanities
Low,2.4118,154.7,Business
High,2.9924,146.9,Arts
Medium,3.1819,146.9,STEM
Medium,3.55,147.1,Arts
Very High,2.8944,162.7,Arts
Low,2.799,151.7,Arts
High,2.8998,152.0,Humanities
Low,3.3653,155.9,Humanities
Very High,3.1726,150.7,Social Sciences
Medium,2.8906,147.5,Business
Low,3.2332,147.9,Humanities
High,3.0965,148.7,Business
High,3.3827,148.9,Social Sciences
Medium,2.834,153.9,Business
Low,2.957,149.5,Business
Low,2.9358,154.0,STEM
Low,2.5839,148.6,Business
Low,3.1618,149.7,Humanities
High,3.1504,136.1,Business
Low,3.0663,155.2,Social Sciences
High,2.9875,151.4,Social Sciences
Low,2.5997,155.7,Arts
Low,2.9264,130.3,Social Sciences
Very High,2.952,162.8,Business
Low,2.8011,148.3,Humanities
Very High,3.0116,156.4,Humanities
Medium,3.1973,142.4,Social Sciences
Very High,3.6841,153.2,Humanities
Medium,3.1219,142.3,Social Sciences
High,3.1492,145.1,STEM
Very High,3.0402,161.7,Social Sciences
Low,2.4344,147.9,STEM
Medium,3.0559,150.6,Arts
Medium,3.0844,154.9,Arts
Very High,3.8736,152.4,Social Sciences
Medium,3.0014,150.2,Business
High,3.1636,151.6,Social Sciences
Very High,3.0532,164.8,Business
Low,2.6807,148.8,Business
Very High,3.4399,150.5,Arts
Very High,3.3116,156.0,Social Sciences
Very High,3.3244,156.4,Business
Very High,2.7659,156.9,Social Sciences
Medium,3.5253,153.3,Arts
Low,2.6041,141.7,STEM
Very High,3.2574,159.8,Humanities
High,3.7841,141.7,Business
High,2.7393,151.1,Business
High,2.8786,144.3,STEM
Medium,3.0973,148.8,Arts
Medium,2.8992,151.3,STEM
Very High,2.5553,151.3,Humanities
High,3.0871,151.9,STEM
Very High,2.7157,159.7,Social Sciences
High,3.2201,152.1,Humanities
High,2.7626,147.6,Social Sciences
Very High,3.5737,155.5,STEM
Very High,2.8073,156.9,STEM
High,2.9588,141.2,Social Sciences
Very High,3.3318,153.1,Business
Low,2.6603,153.7,Arts
High,3.1393,147.2,STEM
Very High,3.4939,158.1,Social Sciences
Medium,2.5366,148.2,STEM
Very High,3.1252,150.0,STEM
High,3.15,148.0,Business
Very High,3.3214,149.3,Humanities
Medium,2.6583,142.0,STEM
Medium,2.6309,139.8,STEM
Very High,3.236,159.6,STEM
Low,3.1621,143.7,Business
Medium,3.1469,142.7,Arts
Medium,3.1784,135.1,STEM
Medium,2.8413,145.0,STEM
High,3.1409,140.5,Arts
Very High,3.1609,159.9,Arts
Very High,2.83,155.8,Social Sciences
High,3.6774,144.7,STEM
Very High,3.2202,163.9,STEM
Medium,2.6733,155.6,Humanities
Medium,3.2803,147.1,Social Sciences
Low,2.7445,132.9,STEM
Very High,3.3231,164.1,Humanities
Medium,3.4451,140.1,STEM
Low,2.795,138.4,Business
Very High,3.381,155.8,Social Sciences
Very High,3.2002,165.1,STEM
Very High,3.3346,158.2,Humanities
Very High,3.6876,152.9,Social Sciences
High,2.984,153.1,Arts
Very High,2.817,154.7,Humanities
Medium,2.7724,154.1,Social Sciences
High,2.7966,151.0,Business
Medium,3.0393,149.9,Social Sciences
High,3.1767,148.8,Arts
Low,3.1555,144.3,Social Sciences
Medium,3.3363,147.3,Humanities
Low,3.0689,138.1,STEM
Medium,3.542,148.5,Social Sciences
Very High,2.9777,142.7,Business
High,3.958,142.0,Business
Very High,3.2701,150.3,STEM
Very High,2.783,158.3,STEM
High,2.7129,155.2,Business
Low,3.2231,138.9,Arts
Medium,2.9912,142.7,STEM
Very High,3.2991,155.3,Humanities
High,3.22,142.8,Social Sciences
High,3.0407,147.7,Arts
Very High,2.7865,152.8,STEM
Low,2.5671,142.9,STEM
Medium,2.9179,149.9,Business
High,3.3459,140.5,STEM
Low,3.1349,145.3,Humanities
High,2.6554,151.3,Social Sciences
Low,3.1215,138.8,Social Sciences
High,3.1911,152.0,Social Sciences
High,2.7743,149.0,Humanities
Very High,3.1151,152.8,STEM
Medium,3.0837,150.6,Humanities
High,2.6892,158.1,Business
Very High,3.1821,150.0,Business
Medium,3.2488,146.4,STEM
Very High,3.4203,150.0,STEM
Medium,3.4107,152.7,Social Sciences
Medium,2.6121,149.5,Social Sciences
High,2.7566,149.4,Social Sciences
Medium,3.2337,144.6,Business
Medium,3.2333,144.9,STEM
Medium,3.2337,140.0,STEM
Very High,4.33,160.6,Social Sciences
Medium,3.2521,141.1,Business
High,3.4376,144.7,STEM
Medium,3.3779,144.5,Humanities
High,3.2785,155.0,Social Sciences
Low,2.961,147.3,Arts
Very High,3.3139,157.3,Arts
Medium,2.8108,144.8,Social Sciences
Very High,2.9868,151.0,STEM
Medium,2.9052,143.7,Social Sciences
Very High,3.0915,163.2,STEM
Very High,3.8248,141.4,Business
Medium,2.4513,151.2,Business
Very High,3.29,153.3,Business
